application_id,Interview Taken on,Status,event_name,Department,Post Name,Offered Salary
955372,02-05-2014 09:16,Rejected,Female,Sales Department,b9,85176
958058,02-05-2014 13:04,Rejected,Male,Service Department,b9,31854
15712,03-05-2014 00:36,Rejected,Male,Sales Department,i6,11970
443525,09-05-2014 15:40,Rejected,Male,Service Department,i5,2085
847880,09-05-2014 15:43,Hired,Female,Service Department,m6,800
577498,04-05-2014 09:41,Rejected,Male,Service Department,m7,41402
959638,04-05-2014 09:44,Rejected,Male,Service Department,i7,48028
442311,04-05-2014 17:32,Rejected,Male,Service Department,i5,22832
300293,05-05-2014 13:25,Rejected,Male,Operations Department,i7,5664
290946,05-05-2014 19:35,Rejected,Male,Purchase Department,i7,89786
37073,05-05-2014 19:37,Hired,Female,Purchase Department,i7,51645
622677,05-05-2014 15:41,Rejected,Male,Finance Department,c5,60294
580633,05-05-2014 15:42,Rejected,Male,Finance Department,c5,53465
116456,05-05-2014 15:44,Hired,Female,Finance Department,c5,52285
798741,05-05-2014 15:45,Rejected,Female,Finance Department,c5,2013
39036,05-05-2014 11:41,Rejected,Male,Operations Department,i4,98622
349039,06-05-2014 16:05,Rejected,Male,Operations Department,c5,68666
94068,10-05-2014 17:34,Hired,Male,Operations Department,i4,67434
487441,10-05-2014 17:34,Hired,Female,Operations Department,i4,12624
235574,06-05-2014 21:40,Rejected,Male,Service Department,m6,68466
180166,06-05-2014 04:03,Rejected,Male,Operations Department,b9,27418
249045,06-05-2014 13:26,Rejected,Female,Finance Department,c5,9009
563405,06-05-2014 13:28,Rejected,Female,Finance Department,c5,40831
810490,06-05-2014 13:30,Rejected,Female,Finance Department,c5,85140
296052,29-05-2014 14:43,Hired,Female,Finance Department,c5,1141
964704,29-05-2014 14:44,Hired,Female,Finance Department,c5,39485
565183,06-05-2014 08:40,Rejected,Male,Marketing Department,b9,84675
288171,06-05-2014 15:37,Hired,Female,Marketing Department,i4,33631
499643,06-05-2014 09:26,Rejected,Female,Service Department,i4,45288
610176,07-05-2014 14:06,Rejected,Male,Service Department,i4,46980
346219,22-05-2014 10:21,Rejected,Female,Operations Department,i5,25621
310984,07-05-2014 02:13,Rejected,Male,Service Department,i7,6472
357945,07-05-2014 02:13,Rejected,Male,Service Department,i7,25239
188820,07-05-2014 17:58,Rejected,Male,Sales Department,i4,94869
193244,07-05-2014 10:53,Rejected,Male,Operations Department,i6,77157
781620,07-05-2014 15:34,Rejected,Male,Production Department,i4,62894
379557,07-05-2014 15:34,Hired,Female,Production Department,i4,61532
674051,07-05-2014 15:35,Rejected,Female,Production Department,i4,81261
928902,07-05-2014 16:26,Rejected,Female,Finance Department,b9,59644
22155,07-05-2014 16:26,Rejected,Female,Finance Department,b9,46852
572422,07-05-2014 08:07,Rejected,Male,Sales Department,i7,61488
114584,07-05-2014 08:08,Rejected,Male,Sales Department,i7,
794226,07-05-2014 16:01,Rejected,Male,Service Department,i7,16090
496573,07-05-2014 16:01,Rejected,Male,Service Department,i7,83364
437695,13-05-2014 15:22,Rejected,Male,Service Department,i7,77517
983577,08-05-2014 07:13,Rejected,Male,Service Department,b9,84746
720850,08-05-2014 22:10,Rejected,Male,Sales Department,i6,80600
453498,08-05-2014 03:12,Hired,Male,Sales Department,i4,62937
550914,08-05-2014 03:15,Rejected,Female,Sales Department,i4,18921
37906,08-05-2014 03:16,Hired,Female,Sales Department,i4,95603
692080,08-05-2014 03:16,Hired,Male,Sales Department,i4,79230
735087,08-05-2014 03:16,Rejected,Male,Sales Department,i4,56650
855558,08-05-2014 11:52,Rejected,Female,Production Department,c5,75158
480514,08-05-2014 19:13,Rejected,Female,Operations Department,i1,50125
111017,08-05-2014 19:17,Rejected,Female,Operations Department,i1,11072
860311,08-05-2014 07:59,Hired,Male,Purchase Department,i5,14781
269204,08-05-2014 07:57,Hired,Don’t want to say,Purchase Department,i5,43093
566403,09-05-2014 15:05,Hired,Female,Operations Department,c5,85201
63871,09-05-2014 09:58,Rejected,Female,General Management,c5,16236
269231,09-05-2014 12:28,Rejected,Female,General Management,i5,67557
45301,09-05-2014 12:30,Rejected,Female,General Management,i5,74863
455073,09-05-2014 13:53,Hired,Female,Service Department,i4,60370
499649,09-05-2014 17:27,Rejected,Female,Operations Department,i4,33331
611809,09-05-2014 17:31,Hired,Female,Operations Department,i4,28473
475118,09-05-2014 14:10,Rejected,Female,Operations Department,i4,6911
556899,09-05-2014 14:11,Rejected,Female,Operations Department,i4,9397
879830,10-05-2014 20:03,Rejected,Male,Sales Department,i4,25582
773816,10-05-2014 20:09,Rejected,Female,Sales Department,i4,31548
316208,10-05-2014 17:30,Rejected,Male,Service Department,i5,19218
244695,10-05-2014 03:16,Rejected,Male,Service Department,i4,20095
458216,12-05-2014 08:27,Hired,Female,Operations Department,i6,67976
702304,12-05-2014 08:24,Rejected,Don’t want to say,Operations Department,i6,45539
788145,12-05-2014 18:26,Rejected,Male,Service Department,c5,80465
841217,12-05-2014 18:26,Rejected,Male,Service Department,c5,85634
599654,13-05-2014 18:40,Rejected,Male,Marketing Department,i1,97081
272804,13-05-2014 18:41,Hired,Male,Marketing Department,i1,28445
114169,13-05-2014 18:41,Hired,Female,Marketing Department,i1,42946
644226,13-05-2014 18:42,Rejected,Female,Marketing Department,i1,73532
576340,13-05-2014 09:18,Hired,Female,Operations Department,i7,55469
368184,13-05-2014 09:18,Rejected,Female,Operations Department,i7,19130
305032,13-05-2014 09:19,Hired,Female,Operations Department,i7,90807
814453,13-05-2014 09:19,Hired,Don’t want to say,Operations Department,i7,68515
658727,13-05-2014 17:44,Rejected,Female,Operations Department,c5,41577
244207,13-05-2014 17:46,Rejected,Female,Operations Department,c5,9681
26472,13-05-2014 19:57,Hired,Male,Purchase Department,i6,43261
468867,13-05-2014 18:56,Rejected,Female,General Management,c5,23446
495899,13-05-2014 18:56,Rejected,Female,General Management,c5,17748
217101,13-05-2014 11:00,Rejected,Female,Operations Department,i4,19261
521234,13-05-2014 11:03,Hired,Don’t want to say,Operations Department,i4,44582
377976,21-05-2014 14:41,Rejected,Female,Operations Department,i4,19035
796234,14-05-2014 13:28,Rejected,Male,Service Department,c8,55777
736087,14-05-2014 13:30,Rejected,Male,Service Department,c8,91475
17030,14-05-2014 13:32,Rejected,Female,Service Department,c8,21244
677063,14-05-2014 18:07,Rejected,Male,Marketing Department,c5,6564
656629,14-05-2014 15:03,Rejected,Female,Finance Department,i4,79762
831439,14-05-2014 15:06,Rejected,Female,Finance Department,i4,69765
243961,14-05-2014 15:50,Rejected,Male,Purchase Department,c5,30809
385418,16-05-2014 11:58,Rejected,Don’t want to say,Service Department,b9,3527
956145,15-05-2014 08:27,Rejected,Male,Sales Department,c5,78988
730676,15-05-2014 08:27,Rejected,Male,Sales Department,c5,34674
255026,15-05-2014 08:27,Rejected,Male,Sales Department,c5,56938
404918,15-05-2014 08:27,Rejected,Male,Sales Department,c5,21848
809992,15-05-2014 16:17,Rejected,Male,Marketing Department,c5,55595
361096,15-05-2014 09:56,Rejected,Male,Service Department,c-10,9390
691216,15-05-2014 09:56,Rejected,Male,Service Department,c-10,67066
567661,15-05-2014 09:57,Rejected,Male,Service Department,c-10,8723
382645,15-05-2014 09:57,Hired,Male,Service Department,c-10,65587
767003,15-05-2014 10:01,Hired,Male,Service Department,c-10,73396
412827,15-05-2014 15:57,Rejected,Male,Service Department,c-10,76789
912261,15-05-2014 13:48,Rejected,Male,Sales Department,i5,59625
881891,15-05-2014 13:51,Hired,Female,Sales Department,i5,41895
574621,15-05-2014 11:29,Rejected,Female,Operations Department,i7,31546
105729,15-05-2014 16:13,Rejected,Male,Service Department,c-10,80817
961551,15-05-2014 20:41,Rejected,Male,Operations Department,i6,31050
824221,16-05-2014 09:55,Hired,Male,Service Department,i4,17815
966786,16-05-2014 09:55,Hired,Female,Service Department,i4,13718
19370,16-05-2014 09:57,Rejected,Female,Service Department,i4,62082
462721,16-05-2014 16:49,Rejected,Male,Operations Department,i4,26530
381072,16-05-2014 16:50,Hired,Male,Operations Department,i4,67685
664109,16-05-2014 16:54,Hired,Male,Operations Department,i4,42782
505365,16-05-2014 18:06,Hired,Don’t want to say,Human Resource Department,i5,79702
132154,16-05-2014 18:07,Rejected,Don’t want to say,Human Resource Department,i5,82599
482656,29-05-2014 09:19,Hired,Female,Production Department,i7,97814
735179,29-05-2014 09:20,Rejected,Male,Production Department,i7,25931
813519,29-05-2014 09:19,Rejected,Don’t want to say,Production Department,i7,83585
225116,16-05-2014 17:41,Hired,Male,Operations Department,i1,25711
830139,19-05-2014 00:05,Rejected,Don’t want to say,Operations Department,i4,2103
45162,19-05-2014 00:05,Hired,Don’t want to say,Operations Department,i4,1212
883717,18-05-2014 16:21,Rejected,Male,Operations Department,i4,3947
583818,18-05-2014 17:49,Rejected,Male,Service Department,i7,95633
192500,18-05-2014 17:53,Rejected,Male,Operations Department,i6,78192
641336,18-05-2014 17:53,Hired,Female,Operations Department,i6,22267
466709,19-05-2014 13:22,Hired,Female,Production Department,i7,49631
318812,19-05-2014 12:58,Hired,Female,Sales Department,c5,84858
303466,19-05-2014 13:17,Rejected,Male,Production Department,c-10,81257
549934,19-05-2014 13:18,Rejected,Male,Production Department,c-10,59735
40385,19-05-2014 14:28,Hired,Male,Operations Department,i4,1986
730191,19-05-2014 15:25,Rejected,Female,General Management,i5,13753
151361,20-05-2014 18:56,Rejected,Female,Service Department,c8,87397
299540,20-05-2014 17:03,Rejected,Female,General Management,c-10,98404
66952,20-05-2014 17:04,Rejected,Male,General Management,c-10,58443
372707,20-05-2014 17:05,Rejected,Female,General Management,c-10,92123
703540,20-05-2014 17:06,Hired,Female,General Management,c-10,77027
838911,20-05-2014 17:03,Hired,Male,General Management,c-10,98822
51314,20-05-2014 17:05,Hired,Female,General Management,c-10,18661
716333,20-05-2014 17:03,Hired,Don’t want to say,General Management,c-10,71461
350612,20-05-2014 19:45,Hired,Male,Service Department,b9,56549
101674,20-05-2014 09:49,Rejected,Male,Production Department,c5,78365
542532,20-05-2014 09:51,Rejected,Female,Production Department,c5,43729
626271,20-05-2014 09:49,Rejected,Don’t want to say,Production Department,c5,84745
272182,20-05-2014 12:28,Hired,Female,Service Department,i6,56534
942393,20-05-2014 16:02,Rejected,Male,Purchase Department,i4,71981
118533,20-05-2014 16:05,Hired,Male,Purchase Department,i4,68969
646468,21-05-2014 08:56,Rejected,Male,Service Department,i4,47396
29796,21-05-2014 08:57,Rejected,Male,Service Department,i4,31993
484007,21-05-2014 08:59,Rejected,Male,Service Department,i4,38842
485806,21-05-2014 08:58,Rejected,Female,Service Department,i4,98316
34378,21-05-2014 14:21,Rejected,Female,Service Department,i7,80894
745574,21-05-2014 14:21,Rejected,Male,Service Department,i7,84147
508134,21-05-2014 14:24,Rejected,Male,Service Department,i7,65393
826902,21-05-2014 12:35,Rejected,Female,Finance Department,c-10,23823
25028,21-05-2014 18:45,Rejected,Male,Service Department,c5,35787
891404,21-05-2014 18:03,Rejected,Male,Service Department,i4,51426
456232,21-05-2014 17:35,Rejected,Male,Service Department,i4,23558
488788,21-05-2014 15:06,Rejected,Male,Sales Department,c5,65543
757514,21-05-2014 04:02,Hired,Female,Operations Department,c5,76575
337880,21-05-2014 04:03,Hired,Male,Operations Department,c5,50520
806305,21-05-2014 12:46,Hired,Male,Operations Department,i7,97253
304630,21-05-2014 16:05,Rejected,Male,Service Department,c8,2686
382693,21-05-2014 16:06,Rejected,Female,Service Department,c8,87084
150277,22-05-2014 22:18,Rejected,Male,Sales Department,c-10,91928
827372,22-05-2014 09:09,Rejected,Male,Service Department,i7,28224
761496,22-05-2014 11:51,Rejected,Female,Finance Department,i4,11052
321721,22-05-2014 14:01,Hired,Female,Production Department,i7,86922
406013,22-05-2014 14:03,Rejected,Male,Production Department,i7,39389
515475,22-05-2014 18:09,Rejected,Male,Sales Department,i5,79905
29574,22-05-2014 18:10,Rejected,Female,Sales Department,i5,45265
797115,22-05-2014 18:15,Hired,Male,Sales Department,i5,21768
183456,22-05-2014 23:57,Rejected,Male,Service Department,i4,68579
812987,22-05-2014 09:12,Hired,Female,Purchase Department,i7,82746
463120,22-05-2014 09:14,Hired,Female,Purchase Department,i7,87381
461901,30-05-2014 19:43,Hired,Female,Purchase Department,i7,17864
256912,22-05-2014 16:46,Hired,Male,Operations Department,i5,95863
524606,22-05-2014 16:49,Rejected,Male,Operations Department,i5,29743
206017,22-05-2014 10:30,Rejected,Male,Service Department,i4,48490
855219,23-05-2014 16:24,Rejected,Male,Service Department,c8,96918
556830,23-05-2014 16:25,Hired,Female,Service Department,c8,8812
725295,27-05-2014 16:26,Rejected,Male,Operations Department,c-10,45985
278581,26-05-2014 09:42,Hired,Male,Operations Department,b9,15137
328190,26-05-2014 14:51,Rejected,Male,Purchase Department,c-10,58037
634463,26-05-2014 13:24,Rejected,Male,Marketing Department,i7,21913
721691,26-05-2014 01:43,Rejected,Female,Finance Department,c8,48957
872878,26-05-2014 15:07,Rejected,Male,Production Department,i5,22549
910501,26-05-2014 15:08,Rejected,Male,Production Department,i5,13490
437082,26-05-2014 03:02,Rejected,Male,Operations Department,i4,88483
693950,26-05-2014 13:44,Rejected,Male,Service Department,c8,20489
213968,26-05-2014 14:43,Rejected,Male,Operations Department,i4,33603
207860,26-05-2014 14:45,Hired,Male,Operations Department,i4,9864
968918,27-05-2014 09:55,Rejected,Male,Operations Department,i6,86860
970445,27-05-2014 09:56,Hired,Male,Operations Department,i6,6974
200462,27-05-2014 09:57,Hired,Male,Operations Department,i6,42285
417540,27-05-2014 19:43,Rejected,Male,Marketing Department,c-10,2121
180642,27-05-2014 19:44,Rejected,Male,Marketing Department,c-10,69642
231975,27-05-2014 14:14,Rejected,Female,Operations Department,i4,31465
905452,27-05-2014 14:17,Hired,Female,Operations Department,i4,55812
550693,27-05-2014 14:18,Rejected,Male,Operations Department,i4,79788
495892,27-05-2014 14:15,Hired,Don’t want to say,Operations Department,i4,39922
359390,27-05-2014 17:17,Rejected,Male,Operations Department,i7,87516
167998,27-05-2014 17:18,Hired,Female,Operations Department,i7,49768
456321,27-05-2014 17:20,Rejected,Male,Operations Department,i7,18830
481220,27-05-2014 10:58,Rejected,Male,Service Department,i7,58968
387131,27-05-2014 10:59,Rejected,Male,Service Department,i7,95697
723507,27-05-2014 12:26,Rejected,Female,General Management,c5,55511
874807,27-05-2014 12:27,Rejected,Female,General Management,c5,81603
501620,27-05-2014 12:28,Rejected,Female,General Management,c5,58559
109266,27-05-2014 18:17,Hired,Female,Finance Department,i7,68952
516967,27-05-2014 18:17,Hired,Don’t want to say,Finance Department,i7,48308
265784,28-05-2014 12:02,Rejected,Female,Finance Department,i5,59628
216582,28-05-2014 08:19,Hired,Male,Operations Department,i4,36542
846310,28-05-2014 08:20,Hired,Female,Operations Department,i4,74691
13742,28-05-2014 01:42,Hired,Male,Production Department,c-10,40601
773059,28-05-2014 11:23,Rejected,Male,Operations Department,i4,25881
876247,28-05-2014 00:32,Rejected,Male,Operations Department,i7,25873
714683,28-05-2014 00:33,Hired,Male,Operations Department,i7,33839
630224,28-05-2014 00:34,Hired,Male,Operations Department,i7,29298
370968,28-05-2014 00:35,Hired,Female,Operations Department,i7,16072
445539,13-06-2014 14:30,Hired,Male,Operations Department,i7,52199
65835,13-06-2014 14:31,Rejected,Female,Operations Department,i7,30886
402829,13-06-2014 14:32,Hired,Male,Operations Department,i7,22524
937743,28-05-2014 11:16,Rejected,Male,Marketing Department,c5,52971
865692,28-05-2014 10:40,Rejected,Male,Operations Department,c-10,77581
913308,28-05-2014 04:56,Rejected,Male,Production Department,i6,65249
753595,01-06-2014 22:23,Hired,Male,Production Department,i6,15784
231901,01-06-2014 22:25,Hired,Male,Production Department,i6,7691
439628,29-05-2014 15:47,Rejected,Male,Operations Department,i7,5510
67222,29-05-2014 18:46,Hired,Male,Operations Department,c-10,72545
280350,29-05-2014 18:47,Hired,Female,Operations Department,c-10,44767
587939,29-05-2014 12:15,Rejected,Male,Operations Department,i6,28753
493551,29-05-2014 12:17,Hired,Male,Operations Department,i6,54524
792362,29-05-2014 06:44,Hired,Male,Service Department,c5,95011
614502,29-05-2014 06:43,Hired,Female,Service Department,c5,90897
363830,29-05-2014 08:54,Rejected,Male,Purchase Department,c5,41908
212493,29-05-2014 08:54,Hired,Male,Purchase Department,c5,30114
524904,29-05-2014 08:56,Rejected,Female,Purchase Department,c5,66608
359609,01-06-2014 07:04,Hired,Male,Purchase Department,c5,65247
821717,29-05-2014 17:07,Rejected,Male,Service Department,c5,5900
24310,29-05-2014 12:24,Rejected,Male,Service Department,i4,63559
795330,15-06-2014 09:45,Hired,Female,General Management,i4,400000
906700,30-05-2014 18:46,Rejected,Male,Operations Department,b9,55465
772644,30-05-2014 08:07,Rejected,Male,Service Department,c-10,56488
79758,30-05-2014 08:09,Rejected,Male,Service Department,c-10,55553
181028,04-06-2014 07:20,Rejected,Female,Operations Department,c8,2747
582449,04-06-2014 07:21,Rejected,Male,Operations Department,c8,50000
462254,30-05-2014 09:14,Hired,Female,Operations Department,i4,7210
413388,30-05-2014 09:14,Rejected,Don’t want to say,Operations Department,i4,77422
938274,12-06-2014 15:46,Hired,Female,Operations Department,c5,67823
517354,31-05-2014 13:07,Rejected,Male,Purchase Department,i4,2988
842308,01-06-2014 13:36,Rejected,Male,Service Department,i7,4426
657117,02-06-2014 22:30,Rejected,Male,Operations Department,i4,56255
22963,02-06-2014 22:33,Rejected,Female,Operations Department,i4,53806
201095,02-06-2014 22:35,Rejected,Male,Operations Department,i4,7775
880451,02-06-2014 07:13,Rejected,Male,Operations Department,b9,90362
187096,02-06-2014 17:14,Hired,Female,Production Department,c5,26954
333678,02-06-2014 11:21,Rejected,Male,Operations Department,b9,59001
579048,02-06-2014 11:21,Hired,Male,Operations Department,b9,33534
133347,02-06-2014 11:21,Hired,Male,Operations Department,b9,47686
20595,02-06-2014 13:08,Rejected,Male,Production Department,c8,57407
12320,02-06-2014 13:10,Rejected,Male,Production Department,c8,56727
68151,03-06-2014 12:44,Rejected,Male,Service Department,c-10,86486
567549,03-06-2014 12:47,Hired,Male,Service Department,c-10,34243
379251,03-06-2014 12:15,Rejected,Male,Sales Department,i5,25492
540849,03-06-2014 12:15,Rejected,Male,Sales Department,i5,38787
270850,14-06-2014 10:49,Hired,Female,Service Department,i4,56501
754298,14-06-2014 10:50,Hired,Female,Service Department,i4,57362
238948,03-06-2014 17:40,Rejected,Male,Production Department,b9,7104
840739,03-06-2014 23:15,Rejected,Female,Purchase Department,c-10,42449
944802,03-06-2014 10:57,Rejected,Male,Service Department,c5,91116
528415,03-06-2014 10:57,Hired,Male,Service Department,c5,51584
598089,03-06-2014 13:19,Rejected,Female,Service Department,i4,15689
947903,03-06-2014 08:24,Rejected,Male,Service Department,i4,13459
831750,03-06-2014 08:25,Hired,Male,Service Department,i4,60967
578768,03-06-2014 20:45,Rejected,Male,Service Department,c8,18013
366864,03-06-2014 20:46,Hired,Male,Service Department,c8,55146
787584,04-06-2014 12:27,Rejected,Male,Human Resource Department,i5,80309
506061,04-06-2014 21:38,Rejected,Male,Operations Department,c5,52054
832162,04-06-2014 21:40,Rejected,Male,Operations Department,c5,72134
71829,04-06-2014 00:59,Hired,Female,Service Department,i1,47003
240857,04-06-2014 10:40,Hired,Male,Service Department,b9,59017
983968,13-06-2014 15:43,Hired,Female,Service Department,c-10,78320
717149,04-06-2014 07:56,Rejected,Male,Operations Department,b9,60135
33558,04-06-2014 07:57,Rejected,Male,Operations Department,b9,99019
806798,04-06-2014 13:17,Rejected,Female,Operations Department,i7,8399
817082,04-06-2014 13:19,Rejected,Female,Operations Department,i7,47617
372328,04-06-2014 18:14,Hired,Male,Service Department,i4,99389
290105,04-06-2014 18:16,Hired,Female,Service Department,i4,86123
524956,05-06-2014 10:40,Rejected,Male,Service Department,i5,20944
525261,05-06-2014 10:41,Hired,Male,Service Department,i5,67992
865282,05-06-2014 17:39,Hired,Male,Marketing Department,i5,19550
422877,05-06-2014 15:38,Rejected,Male,Purchase Department,i5,47241
140614,05-06-2014 01:45,Rejected,Male,Operations Department,i6,46314
508051,05-06-2014 04:15,Rejected,Male,Operations Department,c8,68865
896420,05-06-2014 04:19,Hired,Male,Operations Department,c8,64751
868204,05-06-2014 13:39,Rejected,Male,Operations Department,i4,57536
462656,24-07-2014 09:19,Hired,Don’t want to say,Operations Department,i5,52411
516379,05-06-2014 17:25,Rejected,Female,Service Department,i4,29273
831633,05-06-2014 17:05,Rejected,Male,Service Department,c8,3046
623164,05-06-2014 15:11,Rejected,Male,Service Department,i4,12775
504281,05-06-2014 16:14,Rejected,Male,Operations Department,i1,10296
951881,05-06-2014 16:07,Rejected,Male,Service Department,i4,72083
528775,05-06-2014 16:08,Hired,Male,Service Department,i4,5372
147127,05-06-2014 08:17,Rejected,Male,Operations Department,i1,83490
730892,06-06-2014 18:01,Hired,Male,Sales Department,c8,80788
294893,06-06-2014 08:39,Rejected,Male,Sales Department,i5,8571
341409,06-06-2014 08:42,Hired,Female,Sales Department,i5,8366
206532,06-06-2014 08:42,Rejected,Female,Sales Department,i5,72786
481356,14-06-2014 04:22,Rejected,Female,Production Department,c9,34472
39266,06-06-2014 17:28,Rejected,Male,Service Department,c5,22817
104660,06-06-2014 18:01,Rejected,Male,Operations Department,i7,19495
284817,07-06-2014 02:51,Rejected,Female,Finance Department,c9,29015
635035,07-06-2014 02:52,Rejected,Female,Finance Department,c9,95642
480056,08-06-2014 14:15,Rejected,Male,Marketing Department,b9,44936
679609,08-06-2014 14:17,Rejected,Male,Marketing Department,b9,15545
427013,08-06-2014 18:56,Rejected,Male,Operations Department,b9,91976
894420,08-06-2014 17:29,Rejected,Male,Sales Department,c9,86412
246137,08-06-2014 10:41,Hired,Male,Marketing Department,c8,54866
858212,02-07-2014 17:23,Rejected,Male,Operations Department,c5,58078
818753,09-06-2014 03:20,Rejected,Male,Marketing Department,c9,33587
987341,09-06-2014 13:23,Rejected,Male,Sales Department,c5,15334
594873,09-06-2014 13:24,Rejected,Male,Sales Department,c5,39688
139046,09-06-2014 13:25,Rejected,Male,Sales Department,c5,60263
359285,09-06-2014 13:29,Rejected,Male,Sales Department,c9,22123
619825,09-06-2014 23:57,Hired,Male,Service Department,i5,44020
651596,09-06-2014 23:58,Rejected,Female,Service Department,i5,12750
220653,09-06-2014 09:44,Hired,Male,Production Department,b9,70753
997908,09-06-2014 09:47,Hired,Female,Production Department,b9,9041
687198,09-06-2014 00:37,Rejected,Male,Service Department,c5,64093
808956,09-06-2014 19:26,Rejected,Male,Service Department,c8,1659
643354,09-06-2014 18:54,Rejected,Male,Service Department,c8,51235
797497,09-06-2014 23:25,Rejected,Male,Service Department,c9,76959
214058,09-06-2014 23:28,Rejected,Male,Service Department,c9,53154
899341,10-06-2014 10:55,Rejected,Male,Operations Department,i7,77767
220067,10-06-2014 12:05,Rejected,Male,Operations Department,i6,15266
251517,10-06-2014 12:05,Rejected,Male,Operations Department,i6,87908
202279,10-06-2014 12:07,Hired,Don’t want to say,Operations Department,i6,17691
915603,10-06-2014 17:48,Rejected,Male,Operations Department,b9,44588
117676,10-06-2014 00:11,Rejected,Male,Service Department,c8,83450
106504,10-06-2014 00:11,Rejected,Male,Service Department,c8,61895
495662,11-06-2014 13:32,Rejected,Male,Production Department,c9,77165
891509,11-06-2014 17:54,Hired,Male,Operations Department,c-10,59501
821506,11-06-2014 17:55,Rejected,Male,Operations Department,c-10,35386
877797,11-06-2014 18:01,Hired,Female,Operations Department,c-10,5359
933454,11-06-2014 08:12,Hired,Male,Operations Department,c5,92060
145895,11-06-2014 12:30,Rejected,Male,Sales Department,i5,18209
867135,11-06-2014 12:31,Rejected,Male,Sales Department,i5,78364
228826,11-06-2014 06:19,Rejected,Female,General Management,c9,73850
812681,11-06-2014 00:42,Rejected,Male,Service Department,c8,22913
280565,11-06-2014 10:38,Hired,Male,Purchase Department,c5,60262
272553,12-06-2014 08:30,Rejected,Female,General Management,i6,69011
781537,12-06-2014 12:58,Rejected,Male,Service Department,c9,49388
919066,12-06-2014 12:55,Rejected,Male,Sales Department,i6,26296
295087,12-06-2014 11:52,Rejected,Male,Service Department,c5,63091
448658,12-06-2014 11:53,Rejected,Male,Service Department,c5,75179
134620,12-06-2014 11:56,Hired,Male,Service Department,c5,29047
98630,12-06-2014 03:25,Rejected,Female,Operations Department,c5,57640
743668,12-06-2014 03:28,Hired,Female,Operations Department,c5,51576
112172,12-06-2014 10:46,Hired,Male,Sales Department,i5,22976
284546,12-06-2014 10:47,Hired,Don’t want to say,Sales Department,i5,21763
589650,12-06-2014 15:50,Rejected,Male,Marketing Department,i6,70774
385568,13-06-2014 07:06,Rejected,Male,Sales Department,i7,46995
784187,13-06-2014 07:07,Hired,Female,Sales Department,i7,16215
897981,13-06-2014 07:08,Hired,Female,Sales Department,i7,13899
422447,13-06-2014 07:09,Rejected,Female,Sales Department,i7,88883
803693,13-06-2014 07:07,Hired,Don’t want to say,Sales Department,i7,46351
605070,13-06-2014 20:11,Hired,Male,Operations Department,c9,53264
993627,14-06-2014 14:53,Hired,Male,Service Department,i7,17062
692274,14-06-2014 14:55,Hired,Male,Service Department,i7,45379
140135,14-06-2014 11:28,Rejected,Male,Sales Department,c8,52605
